name,link,category,based_in,tags,founded
"Ideogram AI Review: Features, Pricing & Text-to-Image Technology Guide",https://www.eu-startups.com/directory/ideogram-ai-review-features-pricing-text-to-image-technology-guide/,Austria,uk,"ideogram, ideogram ai",2024
sora 2 web,https://www.eu-startups.com/directory/sora-2-web/,Austria,Wagga Wagga,"sora 2 web,sora 2 free,sora 2 api",2025
Bewerbungsbild AI,https://www.eu-startups.com/directory/bewerbungsbild-ai/,Austria,Germany,ai,2023
Yumi42 – Growth Made Easy,https://www.eu-startups.com/directory/yumi42-growth-made-easy/,Austria,Vienna,"coaching, marketplace, transparent",2025
OpenSense Labs GmbH,https://www.eu-startups.com/directory/opensense-labs-gmbh/,Austria,Frankfurt am Main,"Digitale Transformation Agentur, Drupal Entwicklungsdienstleistungen, KI-Lösungen für Unternehmen",2017
Krajete,https://www.eu-startups.com/directory/krajete/,Austria,Pasching,"carbon capture, nox control, nox removal, CleanTech",2025
Submit Ninja,https://www.eu-startups.com/directory/submit-ninja/,Austria,Vienna,"Marketing, Voice of customer, Customer Feedback, Surveys",2025
Catchon tv,https://www.eu-startups.com/directory/catchon-tv/,Austria,Catchon,catchon,2025
Foto ATM,https://www.eu-startups.com/directory/foto-atm/,Austria,Lombard,Photo Booth Rentals,2018
FINMAN – Finance Manager,https://www.eu-startups.com/directory/finman-finance-manager/,Austria,Klein Heinrichschlag,"finance, accounting, automation, ai",2025
Orbit Flows,https://www.eu-startups.com/directory/orbit-flows/,Austria,Scottsdale,"saas, content production",2025
Begin Rebirth,https://www.eu-startups.com/directory/begin-rebirth/,Austria,Milsons Point,"Startup, Shopify, Health Supplement, Gut Health, Travel, Beauty, Immune System",2023
TAGBASE,https://www.eu-startups.com/directory/tagbase/,Austria,Vienna,"Software Development, Product Authenticity, Analytics",2025
Sortask,https://www.eu-startups.com/directory/sortask/,Austria,Graz,"Software Development, AI, App",2025
arterioscope,https://www.eu-startups.com/directory/arterioscope/,Austria,Graz,"Software Development, AI, Health Tech",2025
Diamens FlexCo,https://www.eu-startups.com/directory/diamens-flexco/,Austria,Linz,"Endometriosis, Medical science, Women health",2024
TACD Solutions,https://www.eu-startups.com/directory/tacd-solutions/,Austria,Vienna,"Software Development, Healthcare, Mobile accessibility, Automated shift swapping",2024
Rootery Coffee,https://www.eu-startups.com/directory/rootery-coffee/,Austria,Austria,"Sustainability, Healthy, Raw materials",2024
MakeMeABook,https://www.eu-startups.com/directory/makemeabook/,Austria,Vienna,"Book Publishing, Custom illustrations, Story Telling",2024
Agri Spectra AI,https://www.eu-startups.com/directory/agri-spectra-ai/,Austria,Vienna,"Precision Agriculture, Sustainable Agriculture, Plant Disease Detection, Crop Monitoring",2023
ZickZak,https://www.eu-startups.com/directory/zickzak/,Austria,Austria,"Staffing, Recruiting, AI",2023
Neworn,https://www.eu-startups.com/directory/neworn/,Austria,Vienna,"Retail, Recyclable Materials, Used Merchandise",2023
Syntropic Medical,https://www.eu-startups.com/directory/syntropic-medical/,Austria,Vienna,"Medical Equipment, Manufacturing, Treatments",2023
HMW,https://www.eu-startups.com/directory/hmw/,Austria,Ybbsitz,"Mobility, Electromobility, Vehicle construction",2023
Planet Abled,https://www.eu-startups.com/directory/planet-abled/,Austria,Vienna,"Sustainable Tourism , Inclusive Travel , Accessible Travel",2023
Dexla,https://www.eu-startups.com/directory/dexla/,Austria,Austria,"AI, Digital technologies, Big Data Analysis",2023
Planet Matters,https://www.eu-startups.com/directory/planet-matters/,Austria,Vienna,"Environment, Waste Management, Sustainable Tourism",2022
VERDI Solutions,https://www.eu-startups.com/directory/verdi-solutions/,Austria,Vienna,"Biotechnology Research, Analyzing genomics, Transcriptomics data",2022
Matara,https://www.eu-startups.com/directory/matara/,Austria,Vienna,"Learning Mathematics, Online Platform, Education",2022
MATR,https://www.eu-startups.com/directory/matr/,Austria,Vienna,"Hospitality, Entrepreneurs, Innovative",2022
energiedigital,https://www.eu-startups.com/directory/energiedigital/,Austria,Graz,"Software Development, Hardware components, IoT",2022
SpawnX,https://www.eu-startups.com/directory/spawnx/,Austria,Graz,"Agriculture, Construction, Mining Machinery Manufacturing",2022
AI Manga Translator,https://www.eu-startups.com/directory/ai-manga-translator/,Austria,"245 Wo Lung Street, Fanling, North District, Hong Kong","AI,Browser Extensions,Business",2023
Owl Email,https://www.eu-startups.com/directory/owl-email/,Austria,villach,"email marketing, b2b sales, b2b marketing, saas",2025
Openmart,https://www.eu-startups.com/directory/openmart/,Austria,"245 Wo Lung Street, Fanling, North District, Hong Kong",Cold Emails,2024
Paralino,https://www.eu-startups.com/directory/paralino/,Austria,Salzburg,"Lifestyle, Privacy, Mobile App, Location Sharing",2024
IntelliQ,https://www.eu-startups.com/directory/intelliq/,Austria,Vienna,"EdTech, AI, Quiz Platform, SaaS",2023
Stateshift,https://www.eu-startups.com/directory/stateshift/,Austria,Boulder,saas,2024
Larry Consulting,https://www.eu-startups.com/directory/larry-consulting/,Austria,Vienna,"data, consulting, ai, machine learning",2024
Rubii,https://www.eu-startups.com/directory/rubii/,Austria,"245 Wo Lung Street, Fanling, North District, Hong Kong","Chat,Chatbots",2024
Avdain,https://www.eu-startups.com/directory/avdain/,Austria,Vienna,"Company, Startup, One Person",2020
Softgen,https://www.eu-startups.com/directory/softgen/,Austria,Austria,"AI code assistant, full stack developer",2024
Popper Power GmbH,https://www.eu-startups.com/directory/popper-power-gmbh/,Austria,Vienna,"EV, Battery, BESS, Charging",2022
Setter AI,https://www.eu-startups.com/directory/setter-ai/,Austria,Wien,"AI, AI Agents, Sales & Marketing, AI SaaS, AI Tools, ChatGPT Powered, WhatsApp",2024
SurveySensum,https://www.eu-startups.com/directory/surveysensum/,Austria,vienna,"customer feedback, customer experience",2018
Artypa,https://www.eu-startups.com/directory/artypa/,Austria,Vienna,"AI Content, AI Productivity, AI Generation",2024
Share your Party,https://www.eu-startups.com/directory/share-your-party/,Austria,Vienna,"party, event planning, social community, app",2024
Podpally,https://www.eu-startups.com/directory/podpally/,Austria,Tyrol,"Podcast Preparation, Podcast Research, Topic research",2024
Pressure Washing Albany,https://www.eu-startups.com/directory/pressure-washing-albany/,Austria,loudonville,Pressure Washing,2024
lxbfYeaa,https://www.eu-startups.com/directory/no-title/,Austria,lxbfYeaa,1,2024
Wedding Capsule,https://www.eu-startups.com/directory/wedding-capsule/,Austria,Lochau,"Wedding & Event Planning, Lifestyle, Productivity, Personal Life, Wedding Guest book",2024
Hyrox Training Plans,https://www.eu-startups.com/directory/hyrox-training-plans/,Austria,Ober-wolfsbach,"Fitness, Health & Wellness, Hyrox Training",2024
DOLPHIN RADAR,https://www.eu-startups.com/directory/dolphin-radar/,Austria,AUSTRIA,"INSTAGRAM, SOCIAL MEDIA, DATA, ANALYSIS",2024
506.ai,https://www.eu-startups.com/directory/506ai/,Austria,Linz,"ai, process, automation",2020
Get Worksheet,https://www.eu-startups.com/directory/get-worksheet/,Austria,Vienna,"Education, Artificial Intelligence",2023
Finslice,https://www.eu-startups.com/directory/finslice/,Austria,Linz,"Fintech, Exchange, Alternative Investments, Tangible Assets",2024
FantasyGF AI,https://www.eu-startups.com/directory/fantasygf-ai/,Austria,Austria,"AI, SaaS, ChatBot",2023
DAIKI GmbH,https://www.eu-startups.com/directory/daiki-gmbh/,Austria,Vienna,"AI governance, Compliance software",2023
CaterMe,https://www.eu-startups.com/directory/caterme/,Austria,Piringsdorf,"catering, events",2020
WasItAI,https://www.eu-startups.com/directory/wasitai/,Austria,Vienna,AI-image detection,2024
Maps Scraper AI,https://www.eu-startups.com/directory/maps-scraper-ai/,Austria,Collyer Quay,ai，maps scraper,2023
