name,link_startupeu,link_logo,link_website,website_up,city,region,category,top_3_keywords,business_model,linkedin_global_profile,linkedin_handle,linkedin_valid,instagram_handle,instagram_valid,x_handle,x_valid,founded_year,age,total_funding_listing,headline_count,headlines,headline_financial_count,headline_funding,headline_acquisition_count,headline_bankruptcy_count,headline_non_financial_count,description_writing_score,description_market_readiness_score,description_founder_signal_score,description_word_count,description_jargon_density,description_numeric_evidence_count,status
Avdain,https://www.eu-startups.com/directory/avdain/,https://www.eu-startups.com/wp-content/uploads/2025/03/AvdainGooglePlayHeader-150x84.png,avdain.com,True,Vienna,Vienna,Software & Analytics,"['innovation', 'academic', 'entrepreneurial']",B2B,False,,False,,False,,False,2020,5,No funding announced yet,0,[],0,0,0,0,0,8,6,8,290,0.25,0,no_funding
Popper Power,https://www.eu-startups.com/directory/popper-power-gmbh/,https://www.eu-startups.com/wp-content/uploads/2025/02/2.-Pitch-Deck-Popper-Power-pdf.jpg,popperpower.com,True,Vienna,Vienna,Energy,"['energy storage', 'EV charging', 'infrastructure']",B2B,False,popperpower,True,popperpower,True,,False,2022,3,Between €500K-€ 1 million,4,"['Insolvenz | Popper Power GmbH', 'Insolvenz | Helmut Ludwig Kuhn', 'Insolvenz | Anita Katalin Pancsics Wolf', 'Insolvenz | Anika Friedrich']",0,0,0,4,0,7,6,7,42,0.21,0,probably_funding
Setter AI,https://www.eu-startups.com/directory/setter-ai/,https://www.eu-startups.com/wp-content/uploads/2025/02/Website-Screenshot-150x87.png,trysetter.com,True,Wien,Vienna,Software & Analytics,"['sales', 'AI', 'integration']",B2B,False,,False,trysetter,True,trysetter,True,2024,1,Between €1-€100K,0,[],0,0,0,0,0,8,8,6,305,0.2,2,unclear
SurveySensum,https://www.eu-startups.com/directory/surveysensum/,https://www.eu-startups.com/wp-content/uploads/2025/01/logo-sre-150x150.png,surveysensum.com,True,vienna,Vienna,Software & Analytics,"['customer feedback', 'CX', 'business goals']",B2B,True,surveysensum,True,surveysensum,True,surveysensum,True,2018,7,No funding announced yet,0,[],0,0,0,0,0,8,8,6,203,0.2,0,no_funding
Artypa,https://www.eu-startups.com/directory/artypa/,https://www.eu-startups.com/wp-content/uploads/2025/01/screenshot-150x97.png,artypa.com,True,Vienna,Vienna,Software & Analytics,"['AI', 'platform', 'efficiency']",B2B,False,,False,artypa,True,,False,2024,1,No funding announced yet,0,[],0,0,0,0,0,8,6,5,335,0.2,0,no_funding
Podpally,https://www.eu-startups.com/directory/podpally/,https://www.eu-startups.com/wp-content/uploads/2025/01/podpally-use-150x106.png,podpally.com,True,Tyrol,Tyrol,Software & Analytics,"['podcast', 'research', 'prep']",B2B,False,,False,,False,,False,2024,1,No funding announced yet,0,[],0,0,0,0,0,8,6,5,139,0.14,0,no_funding
Wedding Capsule,https://www.eu-startups.com/directory/wedding-capsule/,https://www.eu-startups.com/wp-content/uploads/2024/12/Logo-400-150x150.png,weddingcapsule.net,True,Lochau,Vorarlberg,Software & Analytics,"['guestbook', 'memories', 'wedding']",B2C,False,,False,,False,wedding_capsule,True,2024,1,No funding announced yet,0,[],0,0,0,0,0,8,7,6,392,0.1,0,no_funding
Hyrox Training Plans,https://www.eu-startups.com/directory/hyrox-training-plans/,https://www.eu-startups.com/wp-content/uploads/2024/12/OGI-new-150x48.png,hyroxtrainingplans.com,True,Ober-wolfsbach,Lower Austria,Health,"['training plans', 'Hyrox', 'athletes']",platform,False,,False,hyroxtrainingplans,True,,False,2024,1,No funding announced yet,2,"['Hyrox Ready: The Ultimate 12-Week Race Day Blueprint | Training Plan for Hyrox Events: Complete Hyrox Training Plans for Beginners, Intermediate (Open), and Advanced (Pro) Levels', 'Hyrox Training Plans | Find the Best Hyrox Workout Programs']",0,0,0,0,2,8,6,5,104,0.15,0,no_funding
506.ai,https://www.eu-startups.com/directory/506ai/,https://www.eu-startups.com/wp-content/uploads/2024/10/logoneu.jpeg,506.ai,True,Linz,Upper Austria,Software & Analytics,"['AI', 'automation', 'enterprise']",B2B,False,506-ai,True,506ai_,True,506ai_,True,2020,5,Between €1 million-€ 2.5 million,3,"['506.ai veröffentlicht CompanyGPT 2.0 - Die Unabhängige europäische Unternehmens-KI mit eigenen Daten', 'Gerhard Kürner, 506.ai: ""CompanyGPT ist eine datenschutzkonforme Version von ChatGPT für Unternehmen.""', '506.ai: Wie man echtes datenbasiertes Marketing auf den Weg bringt und was KI damit zutun hat']",0,0,0,0,3,8,6,5,116,0.25,2,probably_funding
Get Worksheet,https://www.eu-startups.com/directory/get-worksheet/,https://www.eu-startups.com/wp-content/uploads/2024/10/CleanShot-2024-10-10-at-23.12.07-2x-copy-150x150.png,getworksheet.co,True,Vienna,Vienna,Education,"['teachers', 'worksheets', 'customize']",B2B,False,,False,,False,,False,2023,2,Between €1-€100K,0,[],0,0,0,0,0,8,7,5,85,0.1,0,unclear
