name,link,category,based_in,tags,founded,business_name,logo_link,long_business_description,business_description,total_funding,website,company_status,social_links
Avdain,https://www.eu-startups.com/directory/avdain/,Austria,Vienna,"Company, Startup, One Person",2020.0,Avdain,https://www.eu-startups.com/wp-content/uploads/2025/03/AvdainGooglePlayHeader-150x84.png,"Avdain is a enterprise that embodies a fusion of academic rigor and entrepreneurial innovation. Founded and singularly directed by Mikail B., the company stands as a testament to the transformative potential of a visionary approach that seamlessly integrates interdisciplinary research, advanced technology, and strategic business insights. Under Mikail B.’s leadership, Avdain has developed a distinctive operational ethos—one that emphasizes the importance of continuous learning, creative problem-solving, and sustainable growth. The company’s portfolio reflects an agile and multifaceted strategy, where innovative ideas are rigorously tested against academic principles and real-world applications. This dynamic integration enables avdain.com to effectively address complex challenges across diverse sectors. In its mission to drive progress, Avdain not only prioritizes excellence in product and service delivery but also fosters an environment where critical inquiry and forward-thinking solutions are paramount. The company’s commitment to combining scholarly insights with market-leading practices positions it as a role model for modern enterprises seeking to achieve both intellectual and commercial success. Avdain—under the guidance of Mikail B.—thus stands as a beacon of innovation, continually pushing the boundaries of what is possible while upholding the highest standards of academic and professional excellence.","Avdain is an technology company founded and solely operated by Mikail B., dedicated to developing software solutions that empower individuals and businesses. As a forward-thinking platform, Avdain is committed to simplifying complex problems through intuitive digital tools that enhance productivity, creativity, and efficiency. With a strong focus on accessibility and user experience, Avdain aims to make advanced technology available to users of all skill levels, ensuring that innovation is not limited to experts but can be harnessed by anyone looking to optimize their workflow. The company's philosophy revolves around continuous improvement, adaptability, and providing high-quality solutions that integrate seamlessly into various professional and personal environments. Under the leadership of Mikail B., Avdain operates as a dynamic and agile entity, allowing for rapid development and deployment of new ideas. With a deep passion for problem-solving and software development, Mikail B. brings extensive experience to the company, having contributed to numerous projects. His dedication to pushing technological boundaries drives Avdain’s mission to create impactful digital solutions that redefine how people interact with technology. As a one-person-run enterprise, Avdain thrives on efficiency and innovation, ensuring that every project is crafted with precision and a deep understanding of user needs. Whether enhancing existing systems or pioneering new approaches, Avdain continues to be a hub for technological advancement, shaping the digital landscape through the vision and expertise of its founder.",No funding announced yet,avdain.com,Active,()
PDF To Brainrot,https://www.eu-startups.com/directory/pdf-to-brainrot/,Austria,"245 Wo Lung Street, Fanling, North District, Hong Kong","AI,Video,Learning",2024.0,,,,,,,,()
Softgen,https://www.eu-startups.com/directory/softgen/,Austria,Austria,"AI code assistant, full stack developer",2024.0,Softgen,https://www.eu-startups.com/wp-content/uploads/2025/03/Screenshot-2025-03-12-113516-150x71.png,"Beyond a starter: Your complete project, ready to launch Full-Stack Firebase + Next.js – that's not just a starting point, but a first version of your complete project. A custom-tailored starter project at a price comparable to off-the-shelf templates Resend logo Emails Powered by Resend Send transactional emails, promotional campaigns, and automated notifications. Includes DNS setup for optimal deliverability. Stripe / LemonSqueezy logo Payments Powered by Stripe / LemonSqueezy Process secure payments, manage subscriptions, and handle refunds. Includes webhook integration for real-time updates. Firebase Authentication logo Authentication Powered by Firebase Authentication Implement secure user authentication with options for email/password, magic links, and social login providers. Firebase Firestore logo Database Powered by Firebase Firestore Store and retrieve structured data with powerful querying capabilities. Perfect for user profiles, product catalogs, and more. Firebase Realtime Database logo Realtime Database Powered by Firebase Realtime Database Enable real-time data synchronization for features like live chat, collaborative editing, and instant updates. Firebase Storage logo Cloud Storage Powered by Firebase Storage Securely upload, store, and serve user-generated content like images, videos, and documents. Next.js logo SEO Optimization Powered by Next.js Boost your search engine rankings with automated sitemap generation, meta tags, and structured data markup. TailwindCSS & Shadcn UI logo UI Components Powered by TailwindCSS & Shadcn UI Build beautiful, responsive interfaces with pre-built components and utility classes. Includes dark mode support. Custom Integration Need something specific? Just tell Softgen and it will integrate any library or service you require! Just give it your credentials and tell it what you need.","Softgen is your AI Web App Developer. Describe your vision, give instructions, and build full-stack web apps. No coding required.",No funding announced yet,https://softgen.ai/,Active,()
Popper Power GmbH,https://www.eu-startups.com/directory/popper-power-gmbh/,Austria,Vienna,"EV, Battery, BESS, Charging",2022.0,Popper Power GmbH,https://www.eu-startups.com/wp-content/uploads/2025/02/2.-Pitch-Deck-Popper-Power-pdf.jpg,,"Popper Power GmbH develops advanced energy storage and EV charging solutions powered by street lighting infrastructure, leveraging European manufacturing and Austrian innovation to reduce costs in charging infrastructure development and stabilize energy spikes for the energy network.",Between €500K-€ 1 million,www.popperpower.com,Active,"('https://www.linkedin.com/company/86313916',)"
Setter AI,https://www.eu-startups.com/directory/setter-ai/,Austria,Wien,"AI, AI Agents, Sales & Marketing, AI SaaS, AI Tools, ChatGPT Powered, WhatsApp",2024.0,Setter AI,https://www.eu-startups.com/wp-content/uploads/2025/02/Website-Screenshot-150x87.png,"Speed matters when you want more sales. That’s why Setter AI instantly follows up with every lead on WhatsApp—day or night. Your human-like AI keeps the conversation going until your prospects book an appointment, so you never miss a chance to close a deal. With seamless Calendly integration, it’s easy for leads to pick a time. Think of it as your 24/7 sales assistant: it replies within 10 seconds, uses proven sales tactics, and never takes a break. No more missed opportunities or slow responses—just faster conversions and happier customers. Plus, SMS, Instagram and more channels are coming soon! Key Features: Connect to 6,000+ Apps with Zapier: With Zapier integration, our platform seamlessly connects to over 6,000 apps, streamlining your workflow. Book directly into Calendly Book meetings straight into your Google Calendar or Calendly. Can handle multiple time zones. Connect any lead form Connect any lead form, including Facebook Lead Ads, LinkedIn Lead Gen Forms, and your website, for seamless data integration. Human-like Touch Customize your script to sound like a human with simple language and emojis. Access chat logs Access chat logs for every conversation, ensuring you never miss a detail. Pass data on to your CRM Easily pass call transcripts, recordings, and outcomes to your CRM with a webhook integrated into Zapier.",Easy-to-use AI appointment setter for WhatsApp. Connect Calendly seamlessly.,Between €1-€100K,https://www.trysetter.com,Active,()
SurveySensum,https://www.eu-startups.com/directory/surveysensum/,Austria,vienna,"customer feedback, customer experience",2018.0,SurveySensum,https://www.eu-startups.com/wp-content/uploads/2025/01/logo-sre-150x150.png,"SurveySensum is a leading customer feedback platform that helps you gather and analyze customer feedback and take strategic actions that drive revenue. With its ease of use and exceptional support, it is becoming a preferred choice for both beginners and seasoned professionals. It facilitates businesses to gather and act effectively on their feedback across industries like B2B, SaaS, Telecom, NBFC, etc. SurveySensum is not your ordinary CX feedback tool – it is a CX service that helps you achieve your business goals with a customer feedback platform. It comes with seasoned CX professionals who provide end-to-end guidance and support so that you can make your CX program a success. They guide you through the entire process – from survey creation to detailed analysis to extracting valuable action plans and closing the feedback loop in real time.","SurveySensum is a customer feedback platform that helps businesses gather insights from their customers. They offer a variety of services, including consulting, survey creation, and data analysis. They work with businesses of all sizes and in a variety of industries.",No funding announced yet,https://www.surveysensum.com,Active,"('https://www.linkedin.com/company/SurveySensum',)"
Artypa,https://www.eu-startups.com/directory/artypa/,Austria,Vienna,"AI Content, AI Productivity, AI Generation",2024.0,Artypa,https://www.eu-startups.com/wp-content/uploads/2025/01/screenshot-150x97.png,"Traditional AI workflows often involve navigating a plethora of disparate platforms, leading to inefficiencies, cognitive overload, and increased operational costs. Artypa mitigates these challenges by consolidating a diverse range of AI functionalities within a single, unified platform. Key features of the Artypa platform include: - Unified Access: Seamlessly access a comprehensive suite of AI tools, including text generation, image creation, data analysis, and more, all within a single, intuitive interface. - Credit-Based Consumption: A flexible credit-based system replaces traditional subscriptions. Users purchase credits upfront and consume them as needed, optimizing resource allocation and minimizing unnecessary expenditures. - Enhanced Efficiency: Streamline workflows, reduce cognitive friction, and improve overall productivity by eliminating the need to constantly switch between different AI platforms. - Scalability and Customization: The Artypa platform is designed to scale with user needs, offering customizable features and the ability to integrate with existing business workflows. By adopting Artypa, organizations can: - Reduce operational costs: Eliminate the need for multiple subscriptions and associated administrative overhead. - Improve employee productivity: Streamline workflows and empower employees with a unified AI toolkit. - Foster innovation: Encourage experimentation and exploration of new AI capabilities within a controlled and cost-effective environment. - Gain a competitive advantage: Leverage the power of AI to optimize business processes and achieve superior outcomes. Artypa is currently under active development, with ongoing efforts focused on expanding the platform's capabilities and integrating with a wider range of enterprise applications.","Artypa addresses the limitations of fragmented AI tool ecosystems by offering a unified platform for accessing diverse AI functionalities. Key Features: - Consolidation: Access a wide range of AI tools within a single, user-friendly interface. - Efficiency: Streamline workflows and minimize context switching between disparate services. - Flexibility: A credit-based system with one-time billing provides users with granular control over costs. Artypa empowers users to explore and leverage the power of AI without the constraints of multiple subscriptions.",No funding announced yet,https://artypa.com,Active,()
Share your Party,https://www.eu-startups.com/directory/share-your-party/,Austria,Vienna,"party, event planning, social community, app",2024.0,Share your Party,https://www.eu-startups.com/wp-content/uploads/2025/01/Share-Your-Party-150x150.png,"Share Your Party is a dynamic platform designed to transform the way events are planned, promoted, and experienced. The app bridges the gap between event organizers and participants, offering a streamlined and user-friendly interface that caters to both personal gatherings and large-scale public events. With its emphasis on simplicity, sustainability, and scalability, Share Your Party redefines the event management landscape. Core Features and Offerings The platform provides organizers with intuitive tools to create, manage, and promote their events efficiently. Key features include: Event Listing and Management: Easy setup and customization of events, including descriptions, schedules, and images. Ticket Sales and Payment Integration: Secure and seamless payment options for attendees, with multiple payment methods like credit cards, PayPal, and instant transfers. Real-Time Updates: Notifications and updates for attendees about event changes or important announcements. Participant Engagement: Options for attendees to communicate, form groups, and organize rideshares to events. Analytics for Organizers: Insights into ticket sales, attendance forecasts, and user engagement to optimize future events. Participants benefit from personalized event recommendations based on their preferences and location, ensuring a tailored experience that maximizes event discovery and engagement. Sustainability and Innovation Share Your Party is committed to promoting sustainable practices in the event industry. By digitizing event management processes, the app reduces the need for physical tickets, flyers, and other paper materials. It encourages efficient resource use and minimizes environmental impact, making it a forward-thinking solution for the modern world. Revenue Model The business operates on a tiered commission system, where fees are applied to ticketed events based on ticket price ranges: For tickets priced at €1–50, a 5% fee for organizers and a 4% fee for participants are applied. For tickets priced at €100–200, the fees decrease slightly to 4% for organizers and 3% for participants. Additional revenue streams include: Premium Listings: Organizers can pay for featured placement of their events on the platform. Subscription Plans: Regular organizers can subscribe for reduced fees and added benefits. Data Insights Services: Providing organizers with advanced analytics for a fee. Market and Expansion Initially launching in Austria, Share Your Party targets university students, local communities, and established event organizers. The expansion plan includes targeting major European event hubs such as Berlin, Amsterdam, and Ibiza, focusing on vibrant social and cultural hubs to build a loyal user base. Vision and Mission The vision of Share Your Party is to become the leading platform for seamless, sustainable, and engaging event experiences. Its mission is to empower organizers and attendees by providing innovative tools that simplify event planning, foster community connections, and promote eco-friendly practices. Future Outlook With its scalable business model, user-centric design, and commitment to sustainability, Share Your Party is poised to disrupt the event management industry. By addressing the needs of organizers and participants alike, the platform creates a mutually beneficial ecosystem that ensures long-term success and growth in both local and international markets.","Share Your Party is an innovative app that simplifies event planning and participation. It connects organizers with attendees, offering tools for seamless event creation, ticket sales, and real-time updates. With personalized event recommendations, sustainable practices like digital tickets, and features like rideshare coordination, we make every event effortless and eco-friendly. Starting in Austria and expanding across Europe, our scalable platform aims to transform how people connect and celebrate. Whether you’re hosting a private party or a public festival, Share Your Party is your go-to solution for successful, memorable events.",No funding announced yet,https://www.youtube.com/watch?v=pg2ITM43plI&embeds_referring_euri=httpsmailchi.mp&source_ve_path=OTY3MTQ,Idea Stage,"('https://www.linkedin.com/in/sherin-shakirem-bsc-m-a-94440391/',)"
Podpally,https://www.eu-startups.com/directory/podpally/,Austria,Tyrol,"Podcast Preparation, Podcast Research, Topic research",2024.0,Podpally,https://www.eu-startups.com/wp-content/uploads/2025/01/podpally-use-150x106.png,"PodPally – Your Podcast’s New Best Friend Say goodbye to hours of research and hello to seamless podcast prep with PodPally! Effortless Topic Research: Just type in your topic and target audience, and PodPally scours the web for the most relevant blogs, articles, and insights. You’ll get a concise summary and a list of thought-provoking questions to power your conversation. Guest Deep Dives: Drop in your guest’s LinkedIn link, and PodPally crafts a full podcast script. It analyzes their profile and latest posts to deliver a personalized summary and tailored questions that help you truly connect with your guest. PodPally takes the stress out of podcast prep so you can focus on creating amazing conversations.",PodPally – Your Podcast’s New Best Friend Say goodbye to hours of research and hello to seamless podcast prep with PodPally!,No funding announced yet,https://www.podpally.com/,Active,()
Pressure Washing Albany,https://www.eu-startups.com/directory/pressure-washing-albany/,Austria,loudonville,Pressure Washing,2024.0,Pressure Washing Albany,,"Pressure Washing Albany 4 Beaver Pond Rd Loudonville, NY 12211 - United States 15189869432 https://pressurewashingalbanyny.com/","Pressure Washing Albany 4 Beaver Pond Rd Loudonville, NY 12211 - United States 15189869432 https://pressurewashingalbanyny.com/",No funding announced yet,https://pressurewashingalbanyny.com/,,()
