name,website_clean,General
Avdain,https://avdain.com,https://www.avdain.com/our-mission
Popper Power GmbH,https://www.popperpower.com,https://www.popperpower.com/?srsltid=AfmBOoqrkmfZjFYlZYlQC0huGVgpTH-sOuHT2DN1IuCI9QMMUVfE_uIM
Setter AI,https://www.trysetter.com,https://www.trysetter.com/
SurveySensum,https://www.surveysensum.com,https://www.surveysensum.com/
Artypa,https://artypa.com,https://artypa.com/
Podpally,https://www.podpally.com,https://www.podpally.com/
Wedding Capsule,https://weddingcapsule.net,https://weddingcapsule.net/?srsltid=AfmBOooHDfc7mlZ5FELndjWv6nP-oGsa1KRTMFk7we4kGkcESQc_EDNS
Hyrox Training Plans,https://www.hyroxtrainingplans.com,https://www.puregym.com/blog/hyrox-training-plan/
506.ai,https://506.ai,https://www.506.ai/
Get Worksheet,https://getworksheet.co,https://getworksheet.co/index.html
Finslice,https://www.finslice.eu,https://www.finslice.eu/de/
DAIKI GmbH,https://www.dai.ki,https://dai.ki/
CaterMe,https://catermebyschnabls.com,https://catermebyschnabls.com/
WasItAI,https://wasitai.com,https://wasitai.com/
RTOPilot,http://rtopilot.com.au,https://rtopilot.com.au/
Hypertxt,https://hypertxt.ai,https://hypertxt.ai/
Cimphony,http://www.cimphony.ai,https://www.cimphony.ai/
digna GmbH,https://www.digna.ai,https://www.digna.ai/de
IDCanopy,https://www.idcanopy.com,http://www.idcanopy.com/
stomey OG,https://stomey.com,https://stomey.com/
Permar AI Inc.,https://www.permar.ai,https://www.permar.ai/
Evolushost,https://evolushost.com,https://evolushost.com/
DreamPetsAI,http://dreampets.ai,https://dreampets.ai/
jeanszilla,https://jeanszilla.com,https://jeanszilla.com/?srsltid=AfmBOooR9WETFAHW8GHeM_Qs_CiD7-E96yi9iyEBn9tH8CrSXS83RSZw
OneTask,https://onetask.me,https://www.onetask.eu/
WEME Global,https://www.wemeglobal.com,https://www.wemeglobal.com/de/management-consulting/
ThinkValue,https://www.thinkvalue.co,https://www.thinkvalue.co/
SimVenture,https://www.simventure.at,https://www.simventure.at/
